ln1,lt1,ln2,lt2,POIID,Distance
-113.41200,53.45790,-113.485734,53.546167,POI2,10.96303
-113.51700,53.41040,-113.485734,53.546167,POI2,15.242508
-113.54698,53.57745,-113.485734,53.546167,POI2,5.3366446
-73.68473,45.50387,-73.566024,45.521629,POI3,9.460973
-113.47790,53.54318,-113.485734,53.546167,POI2,0.61519796
-113.58200,53.53140,-113.485734,53.546167,POI2,6.571897
-113.51924,53.53871,-113.485734,53.546167,POI2,2.3648362
-113.43865,53.44693,-113.485734,53.546167,POI2,11.469344
-113.58200,53.53140,-113.485734,53.546167,POI2,6.571897
-113.58373,53.53796,-113.485734,53.546167,POI2,6.541191
-113.63905,53.51865,-113.485734,53.546167,POI2,10.587976
-73.61798,45.61680,-73.566024,45.521629,POI3,11.332576
-113.48698,53.60754,-113.485734,53.546167,POI2,6.8270044
-113.48717,53.60750,-113.485734,53.546167,POI2,6.8227186
-113.63878,53.54241,-113.485734,53.546167,POI2,10.123881
-74.04100,45.38380,-73.566024,45.521629,POI3,40.106785
-113.88400,53.55940,-113.485734,53.546167,POI2,26.358368
-73.68730,45.57710,-73.566024,45.521629,POI3,11.283086
-113.36140,53.65850,-113.485734,53.546167,POI2,14.948683
-63.49725,44.97537,-63.232729,45.22483,POI4,34.659023
-113.68446,53.50748,-113.485734,53.546167,POI2,13.8264675
-113.50035,53.49913,-113.485734,53.546167,POI2,5.3204417
-73.57310,45.56950,-73.566024,45.521629,POI3,5.353138
-113.50326,53.62085,-113.485734,53.546167,POI2,8.387201
-113.43710,53.46430,-113.485734,53.546167,POI2,9.657711
-113.43922,53.59728,-113.485734,53.546167,POI2,6.462295
-113.55144,53.27059,-113.485734,53.546167,POI2,30.960436
-113.45700,53.41490,-113.485734,53.546167,POI2,14.724165
-113.98655,53.53565,-113.485734,53.546167,POI2,33.123623
-73.66700,45.53350,-73.566024,45.521629,POI3,7.978458
-113.57952,53.53235,-113.485734,53.546167,POI2,6.3869853
-113.52367,53.40441,-113.485734,53.546167,POI2,15.966354
-113.42384,53.42941,-113.485734,53.546167,POI2,13.617543
-73.66700,45.53350,-73.566024,45.521629,POI3,7.978458
-73.79379,45.57814,-73.566024,45.521629,POI3,18.821945
-113.48300,53.47390,-113.485734,53.546167,POI2,8.04028
-113.44100,53.58700,-113.485734,53.546167,POI2,5.418547
-113.61400,53.64150,-113.485734,53.546167,POI2,13.569869
-113.63530,53.63340,-113.485734,53.546167,POI2,13.843935
-73.56590,45.36680,-73.566024,45.521629,POI3,17.221607
-113.49101,53.58671,-113.485734,53.546167,POI2,4.523039
-73.77142,45.60186,-73.566024,45.521629,POI3,18.316536
-113.65790,53.51850,-113.485734,53.546167,POI2,11.790842
-113.43865,53.44693,-113.485734,53.546167,POI2,11.469344
-73.68090,45.56100,-73.566024,45.521629,POI3,9.963394
-113.44100,53.58700,-113.485734,53.546167,POI2,5.418547
-73.75210,45.53060,-73.566024,45.521629,POI3,14.534421
-113.40854,53.60156,-113.485734,53.546167,POI2,7.997253
-73.56590,45.36680,-73.566024,45.521629,POI3,17.221607
-73.61650,45.44050,-73.566024,45.521629,POI3,9.845214
-73.48330,45.65000,-73.566024,45.521629,POI3,15.663584
-73.64000,45.42000,-73.566024,45.521629,POI3,12.691762
-113.54900,53.26170,-113.485734,53.546167,POI2,31.918127
-113.49599,53.54673,-113.485734,53.546167,POI2,0.6807009
-73.58000,45.52940,-73.566024,45.521629,POI3,1.390423
-113.59434,53.54807,-113.485734,53.546167,POI2,7.180726
-113.55260,53.58500,-113.485734,53.546167,POI2,6.1780477
-113.48698,53.60754,-113.485734,53.546167,POI2,6.8270044
-113.61400,53.64150,-113.485734,53.546167,POI2,13.569869
-113.44628,53.51438,-113.485734,53.546167,POI2,4.393762
-113.48300,53.47390,-113.485734,53.546167,POI2,8.04028
-113.50000,53.55000,-113.485734,53.546167,POI2,1.0347149
-113.61400,53.64150,-113.485734,53.546167,POI2,13.569869
-113.49200,53.55150,-113.485734,53.546167,POI2,0.7234268
-113.42497,53.45139,-113.485734,53.546167,POI2,11.282636
-113.58200,53.53140,-113.485734,53.546167,POI2,6.571897
-73.00710,45.41600,-73.566024,45.521629,POI3,45.1542
-113.47593,53.57794,-113.485734,53.546167,POI2,3.5929682
-113.32417,53.51292,-113.485734,53.546167,POI2,11.303968
-73.57980,45.49780,-73.566024,45.521629,POI3,2.859758
-113.47600,53.62880,-113.485734,53.546167,POI2,9.213697
-63.28700,45.36570,-63.232729,45.22483,POI4,16.234163
-113.51030,53.53660,-113.485734,53.546167,POI2,1.9413779
-73.68476,45.50376,-73.566024,45.521629,POI3,9.46583
-113.59424,53.54810,-113.485734,53.546167,POI2,7.1742167
-113.45959,53.60846,-113.485734,53.546167,POI2,7.1407223
-113.44100,53.58700,-113.485734,53.546167,POI2,5.418547
-113.54100,53.61340,-113.485734,53.546167,POI2,8.321356
-113.68478,53.50756,-113.485734,53.546167,POI2,13.843802
-113.41200,53.45790,-113.485734,53.546167,POI2,10.96303
-113.59419,53.54798,-113.485734,53.546167,POI2,7.170536
-113.47631,53.60950,-113.485734,53.546167,POI2,7.0719576
-113.44000,53.59550,-113.485734,53.546167,POI2,6.2638397
-113.44520,53.44217,-113.485734,53.546167,POI2,11.874457
-113.54900,53.26170,-113.485734,53.546167,POI2,31.918127
-113.41450,53.45930,-113.485734,53.546167,POI2,10.750233
-113.49200,53.55150,-113.485734,53.546167,POI2,0.7234268
-113.59416,53.42959,-113.485734,53.546167,POI2,14.81992
-72.95626,45.63930,-73.566024,45.521629,POI3,49.24164
-73.44950,45.53620,-73.566024,45.521629,POI3,9.223294
-113.51700,53.41040,-113.485734,53.546167,POI2,15.242508
-113.40200,53.44870,-113.485734,53.546167,POI2,12.174886
-114.21600,53.52240,-113.485734,53.546167,POI2,48.348923
-113.55200,53.26680,-113.485734,53.546167,POI2,31.383064
-113.89500,53.55330,-113.485734,53.546167,POI2,27.057697
-73.69410,45.53780,-73.566024,45.521629,POI3,10.14059
